INCIDENT_KEY,BORO,PRECINCT,JURISDICTION_CODE,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat,DAY,MONTH,YEAR,WEEKDAY,time_HOUR,time_MINUTE,time_SECOND,PERP_AGE_GROUP_MIN,PERP_AGE_GROUP_MAX,PERP_AGE_MEAN,VIC_AGE_GROUP_MIN,VIC_AGE_GROUP_MAX,VIC_AGE_MEAN
95013712,0,42,0.0,0,1,1,6,0,1,6,1009613,241202,40.82869107100004,-73.90835406399998,POINT (-73.908354064 40.82869107100004),21,2,2014,0,0,45,0,18,24,21.0,18,24,21.0
165264183,2,6,0.0,0,3,1,2,1,1,2,983190,208988,40.74030856500008,-74.00382659999997,POINT (-74.00382659999997 40.74030856500008),27,5,2017,2,3,25,0,25,44,34.5,25,44,34.5
168650261,3,114,2.0,0,1,1,2,1,1,3,1002669,217122,40.76261522100003,-73.93351174299994,POINT (-73.93351174299994 40.76261522100003),30,8,2017,6,20,0,0,18,24,21.0,25,44,34.5
170368033,3,113,0.0,0,1,1,2,0,1,2,1051576,184407,40.67258357500003,-73.75729290899994,POINT (-73.75729290899994 40.67258357500003),13,10,2017,0,13,53,0,18,24,21.0,18,24,21.0
170184280,3,113,0.0,0,1,1,2,1,1,2,1048716,195663,40.70349989700002,-73.76749538599995,POINT (-73.76749538599995 40.70349989700002),8,10,2017,3,19,44,0,18,24,21.0,25,44,34.5
94977263,0,47,0.0,0,1,1,2,0,1,2,1025337,258094,40.87499539200007,-73.85143308099998,POINT (-73.85143308099998 40.874995392000066),18,2,2014,5,21,17,0,18,24,21.0,18,24,21.0
79248727,0,52,0.0,0,1,1,2,1,0,6,1010834,253341,40.86200545700007,-73.90389394899995,POINT (-73.90389394899995 40.862005457000066),10,6,2011,0,20,18,0,18,24,21.0,25,44,34.5
10411006,3,113,0.0,1,3,1,2,1,0,2,1046693,194050,40.69908711000005,-73.77480655399995,POINT (-73.77480655399995 40.69908711000005),9,2,2006,4,14,55,0,25,44,34.5,25,44,34.5
86325047,3,114,0.0,0,3,1,2,1,1,3,1010809,217787,40.76441976800004,-73.90412500899998,POINT (-73.90412500899998 40.76441976800004),18,8,2012,2,4,15,0,25,44,34.5,25,44,34.5
139515877,1,60,0.0,0,1,1,2,1,0,1,994628,150867,40.58077324200008,-73.96264048599994,POINT (-73.96264048599994 40.58077324200008),5,11,2014,6,14,18,0,18,24,21.0,25,44,34.5
33413507,3,103,0.0,1,3,1,2,1,1,2,1041709,196835,40.70676502500004,-73.79275705599997,POINT (-73.79275705599997 40.70676502500004),28,7,2007,2,2,47,0,25,44,34.5,25,44,34.5
28946341,0,46,0.0,0,1,1,2,1,1,6,1009801,248501,40.84872415700005,-73.90764693499993,POINT (-73.90764693499993 40.84872415700005),10,5,2007,4,15,5,0,18,24,21.0,25,44,34.5
79684810,3,109,0.0,0,3,1,3,1,1,3,1033147,217909,40.76465930200004,-73.82348541299997,POINT (-73.82348541299997 40.76465930200004),7,7,2011,4,9,10,0,25,44,34.5,25,44,34.5
86637782,2,30,0.0,0,1,1,2,0,1,3,999202,240750,40.82747421900008,-73.94597446399997,POINT (-73.94597446399997 40.827474219000074),8,9,2012,2,2,54,0,18,24,21.0,18,24,21.0
91285415,0,52,0.0,0,1,1,2,1,1,2,1010892,253611,40.862746351000055,-73.90368319299995,POINT (-73.90368319299995 40.862746351000055),23,6,2013,3,20,30,0,18,24,21.0,25,44,34.5
24888648,3,104,0.0,0,7,1,2,1,1,6,1009865,197492,40.70871781700004,-73.90761006099996,POINT (-73.90761006099996 40.70871781700004),20,10,2006,0,22,13,0,0,18,9.0,25,44,34.5
165264360,1,67,0.0,1,3,1,3,0,1,2,1003079,176092,40.64999671600003,-73.93214643099996,POINT (-73.93214643099996 40.64999671600003),27,5,2017,2,21,12,0,25,44,34.5,18,24,21.0
50433507,1,73,0.0,0,1,1,2,0,1,2,1008276,183623,40.670655072000045,-73.91339091999998,POINT (-73.91339091999998 40.670655072000045),21,8,2008,4,14,3,0,18,24,21.0,18,24,21.0
78137635,1,60,0.0,0,3,1,2,1,1,2,985306,148423,40.574070952000056,-73.99620020499998,POINT (-73.99620020499998 40.574070952000056),7,4,2011,4,10,25,0,25,44,34.5,25,44,34.5
52100735,1,75,0.0,0,1,1,2,0,1,2,1017141,183798,40.67110691100004,-73.88143295699997,POINT (-73.88143295699997 40.67110691100004),10,10,2008,0,23,32,0,18,24,21.0,18,24,21.0
139392077,0,44,0.0,0,7,1,2,0,1,2,1008953,244959,40.83900482000007,-73.91072508999997,POINT (-73.91072508999997 40.83900482000007),28,10,2014,5,15,11,0,0,18,9.0,18,24,21.0
184630194,1,83,0.0,1,3,1,2,1,1,2,"1,008,055","188,857",40.68502181,-73.91416911,POINT (-73.91416911 40.68502181),30,6,2018,2,3,33,0,25,44,34.5,25,44,34.5
142324357,1,75,0.0,1,1,1,2,0,1,3,1020866,187181,40.68037785300004,-73.86798637799996,POINT (-73.86798637799996 40.68037785300004),21,4,2015,5,13,1,0,18,24,21.0,18,24,21.0
137564752,3,101,0.0,0,1,1,2,0,1,2,1051520,155790,40.59403669500005,-73.75778004599994,POINT (-73.75778004599994 40.59403669500005),4,7,2014,0,0,25,0,18,24,21.0,18,24,21.0
160861307,3,102,0.0,0,1,1,2,1,1,2,1035568,191843,40.69310092600006,-73.81494451699997,POINT (-73.81494451699997 40.69310092600006),24,1,2017,5,20,21,0,18,24,21.0,25,44,34.5
84829748,0,40,0.0,0,7,1,2,1,1,6,1007822,234755,40.81100084000008,-73.91484835499993,POINT (-73.91484835499993 40.81100084000008),20,5,2012,3,2,55,0,0,18,9.0,25,44,34.5
32527924,1,76,0.0,0,1,1,2,1,1,5,989444,187870,40.682343206000034,-73.98127448899999,POINT (-73.98127448899999 40.682343206000034),19,6,2007,5,16,10,0,18,24,21.0,25,44,34.5
80471879,1,67,0.0,0,1,1,2,0,1,2,1004448,177560,40.65402304000003,-73.92720850399996,POINT (-73.92720850399996 40.654023040000034),26,8,2011,0,21,53,0,18,24,21.0,18,24,21.0
83528336,1,83,0.0,0,7,1,2,0,1,2,1006419,191233,40.69154763300003,-73.92006011899997,POINT (-73.92006011899997 40.69154763300003),6,3,2012,5,13,50,0,0,18,9.0,18,24,21.0
48321425,0,47,0.0,0,7,1,2,4,1,2,1023230,262594,40.88735603500004,-73.85902567999993,POINT (-73.85902567999993 40.88735603500004),14,7,2008,1,19,3,0,0,18,9.0,0,18,9.0
142680043,4,120,0.0,0,1,1,5,0,0,3,967315,160465,40.60710771600003,-74.06099174099995,POINT (-74.06099174099995 40.60710771600003),6,5,2015,6,4,9,0,18,24,21.0,18,24,21.0
140452042,3,115,0.0,0,1,1,2,0,1,3,1019225,214100,40.75427061900008,-73.87376295699994,POINT (-73.87376295699994 40.754270619000074),6,1,2015,5,18,23,0,18,24,21.0,18,24,21.0
140080794,1,63,0.0,0,1,1,2,0,1,2,1003363,169331,40.63143861400005,-73.93114211799997,POINT (-73.93114211799997 40.63143861400005),5,12,2014,0,21,45,0,18,24,21.0,18,24,21.0
